Category;Brand;Product;Variant;SKU;Price;"Old price";"Currency ID";Weight;Stock;Units;Visible;Featured;"Meta title";"Meta keywords";"Meta description";Annotation;Description;Images;URL;"to__okaycms__rozetka 1";"to__okaycms__yandex_xml_vendor_model 1";"to__okaycms__yandex_xml 1";"to__okaycms__google_merchant 1";volume;"to__okaycms__hotline 1";Вес;Высота;Диаметр;Ткань;Предназначение;Наполнитель;"Количество наполнителя";"Объемный вес для транспортных компаний";"Производство ";Серия;Диагональ;"Тип экрана";"Разрешение экрана";Система;"Количество ядер";Процессор;"Частота процессора";"Оперативная память";"Встроенная память";"Поддержка SD карт";Sim-карт;"Размеры SIM";"GSM (2G)";3G;"LTE (4G)";WCDMA;"Основная камера";"Фронтальная камера";Вспышка;Bluetooth;GPS;A-GPS;Wi-Fi;"ИК порт";Разъемы;Аккумулятор;Размеры;Цвет;"Wi-Fi Hotspot";"Сканер отпечатков пальцев";"3G (UMTS)";Возраст;Пол;Комплектация;Материал;"Размеры упаковки";"Размер игрушки";"Страна производитель";"Тепловая мощность";"Максимальная температура теплоносителя";"Максимальное рабочее давление";"Конструкция радиатора";"Способ подключения";"Кол-во секций в радиаторе";"Объем воды в радиаторе";"Опрессовочное давление";"Способ установки";"Номинальный объем водонагревателя";"Положение установки";Форма;"Мощность ТЭНа";Гарантия;"Тип нагревательного элемента (ТЭНа)";Мощность;"Отвод газов";"Тип розжига";Производительность;"Производительность ГВС";"Модуляция мощности";"Вес (кг)";"Объем (м3)";"Габариты В.Ш.Г. (мм.)";"Мин. давление газа";Страна;"Вид мяса";Производитель;"Количество мест";"Высота сиденья";Водонепронецаемый;Автор;Язык;"Оригинальное название";Обложка;Страниц;Иллюстрации;"Год издания";Рубрика;"тип товара";"диаметр колеса";"длина хода вилки";вилка;"материал рамы";"задний переключатель";"тип заднего амортизатора";"тип тормозов";"Операционная сиситема";Память;Дисплей;Клавиатура;"Параметры сканера";"Тип штрих-кодов";PTT;Датчик;Пылевлагозащита;Ударопрочность;"Рабочая температура";"Габариты (мм)";"Ширина бумаги";"Тип корма";"Назначение корма";Порода;"Класс корма";Монтаж;Дверцы;Габариты;Объем
;;;;;0.00;;2;0.00;;;;;;;;;;"1612630479083.png, 1612630475097.png";;;;;;0.00000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;100таб;;2000.00;2200.00;2;;;;;;;;;;;turinabol-tab-genesis.jpg;;;;;;0.00000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1000таб;;9000.00;10000.00;2;;;;;;;;;;;turinabol-tab-genesis.jpg;;;;;;0.00000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;8999.00;10000.00;2;;;;;;;;;;;swiss-tropin.jpg;;;;;;0.00000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;4000.00;;0;0.00;;;;;;;;;;ostarinmk-2866.jpg;;;;;;0.00000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;1000.00;1100.00;2;0.00;;;;;;;;;;dostinex-pfizer.jpg;;;;;;0.00000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
